timestamp,region,region_name,fuel_type,generation_mwh
2024-01-02T18,PJM,"PJM Interconnection, LLC",Hydro,1145
2024-01-02T18,PJM,"PJM Interconnection, LLC",Wind,7233
2024-01-02T19,PJM,"PJM Interconnection, LLC",Coal,14965
2024-01-02T19,PJM,"PJM Interconnection, LLC",Natural Gas,42342
2024-01-02T19,PJM,"PJM Interconnection, LLC",Nuclear,32530
2024-01-02T19,PJM,"PJM Interconnection, LLC",Petroleum,233
2024-01-02T19,PJM,"PJM Interconnection, LLC",Other,1282
2024-01-02T19,PJM,"PJM Interconnection, LLC",Solar,2975
2024-01-02T19,PJM,"PJM Interconnection, LLC",Hydro,1135
2024-01-02T19,PJM,"PJM Interconnection, LLC",Wind,6839
2024-01-02T20,PJM,"PJM Interconnection, LLC",Coal,14872
2024-01-02T20,PJM,"PJM Interconnection, LLC",Natural Gas,42347
2024-01-02T20,PJM,"PJM Interconnection, LLC",Nuclear,32529
2024-01-02T20,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-02T20,PJM,"PJM Interconnection, LLC",Other,1213
2024-01-02T20,PJM,"PJM Interconnection, LLC",Solar,2172
2024-01-02T20,PJM,"PJM Interconnection, LLC",Hydro,1455
2024-01-02T20,PJM,"PJM Interconnection, LLC",Wind,6693
2024-01-02T21,PJM,"PJM Interconnection, LLC",Coal,15317
2024-01-02T21,PJM,"PJM Interconnection, LLC",Natural Gas,44731
2024-01-02T21,PJM,"PJM Interconnection, LLC",Nuclear,32521
2024-01-02T21,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-02T21,PJM,"PJM Interconnection, LLC",Other,1087
2024-01-02T21,PJM,"PJM Interconnection, LLC",Solar,454
2024-01-02T21,PJM,"PJM Interconnection, LLC",Hydro,2495
2024-01-02T21,PJM,"PJM Interconnection, LLC",Wind,5926
2024-01-02T22,PJM,"PJM Interconnection, LLC",Coal,15934
2024-01-02T22,PJM,"PJM Interconnection, LLC",Natural Gas,48034
2024-01-02T22,PJM,"PJM Interconnection, LLC",Nuclear,32523
2024-01-02T22,PJM,"PJM Interconnection, LLC",Petroleum,211
2024-01-02T22,PJM,"PJM Interconnection, LLC",Other,1079
2024-01-02T22,PJM,"PJM Interconnection, LLC",Solar,21
2024-01-02T22,PJM,"PJM Interconnection, LLC",Hydro,4760
2024-01-02T22,PJM,"PJM Interconnection, LLC",Wind,5403
2024-01-02T23,PJM,"PJM Interconnection, LLC",Coal,16907
2024-01-02T23,PJM,"PJM Interconnection, LLC",Natural Gas,48660
2024-01-02T23,PJM,"PJM Interconnection, LLC",Nuclear,32518
2024-01-02T23,PJM,"PJM Interconnection, LLC",Petroleum,210
2024-01-02T23,PJM,"PJM Interconnection, LLC",Other,1071
2024-01-02T23,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-02T23,PJM,"PJM Interconnection, LLC",Hydro,6339
2024-01-02T23,PJM,"PJM Interconnection, LLC",Wind,5264
2024-01-03T00,PJM,"PJM Interconnection, LLC",Coal,17196
2024-01-03T00,PJM,"PJM Interconnection, LLC",Natural Gas,48668
2024-01-03T00,PJM,"PJM Interconnection, LLC",Nuclear,32524
2024-01-03T00,PJM,"PJM Interconnection, LLC",Petroleum,208
2024-01-03T00,PJM,"PJM Interconnection, LLC",Other,1050
2024-01-03T00,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-03T00,PJM,"PJM Interconnection, LLC",Hydro,5593
2024-01-03T00,PJM,"PJM Interconnection, LLC",Wind,5267
2024-01-03T01,PJM,"PJM Interconnection, LLC",Coal,17510
2024-01-03T01,PJM,"PJM Interconnection, LLC",Natural Gas,47242
2024-01-03T01,PJM,"PJM Interconnection, LLC",Nuclear,32523
2024-01-03T01,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-03T01,PJM,"PJM Interconnection, LLC",Other,1050
2024-01-03T01,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-03T01,PJM,"PJM Interconnection, LLC",Hydro,4182
